City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hobart,AU,48.2,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
3,Rosarito,MX,55.99,broken clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
4,Kodiak,US,33.8,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
7,Namatanai,PG,77.92,heavy intensity rain,-3.6667,152.4333,Namatanai Hotel
9,Hovd,MN,39.27,overcast clouds,48.0056,91.6419,Hotel Khovd
10,Santa Cruz,BO,73.4,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
12,Bredasdorp,ZA,73.4,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
13,Ushuaia,AR,44.6,few clouds,-54.8,-68.3,Albatros Hotel
14,Iralaya,HN,78.89,overcast clouds,15.0,-83.2333,Iglesia morava renovada
15,Atuona,PF,80.2,scattered clouds,-9.8,-139.0333,Villa Enata
16,Ilulissat,GL,19.4,overcast clouds,69.2167,-51.1,Hotel Arctic
17,Vaini,TO,73.4,scattered clouds,-21.2,-175.2,Keleti Beach Resort
19,Bhim Tal,IN,82.54,clear sky,29.35,79.5667,Sattal Forest Resort
20,Hermanus,ZA,72.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
21,Rikitea,PF,78.21,light rain,-23.1203,-134.9692,Pension Maro'i
22,Port Alfred,ZA,74.79,overcast clouds,-33.5906,26.891,The Halyards Hotel
23,Mount Gambier,AU,53.6,overcast clouds,-37.8333,140.7667,Commodore on the Park
24,Tuatapere,NZ,51.01,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
26,Maragogi,BR,76.12,moderate rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
27,Ascension,US,69.8,overcast clouds,30.2169,-90.9001,Highland Inn
28,Brainerd,US,37.99,overcast clouds,46.358000000000004,-94.2008,Holiday Inn Express & Suites Brainerd-Baxter
30,Maumere,ID,83.7,scattered clouds,-8.6199,122.2111,Sylvia Hotel
31,Mayo,US,60.8,light rain,38.8876,-76.5119,Resorts Resource Group International
33,Saint-Leu,RE,84.2,light rain,-21.15,55.2833,La Caz Oceane
34,Mittagong,AU,59.0,clear sky,-34.45,150.45,Mittagong Motel
35,Saint-Francois,FR,51.01,light rain,46.4154,3.9054,Manoir Du Bonheur
36,Auckland,NZ,64.99,scattered clouds,-36.8667,174.7667,Airedale Boutique Suites
37,Port Macquarie,AU,62.01,clear sky,-31.4333,152.9167,Rydges Port Macquarie
38,Clyde River,CA,23.0,light snow,70.4692,-68.5914,Qamaq Hotel
39,Mataura,NZ,51.01,broken clouds,-46.1927,168.8643,Ellie's Villa
40,Jamestown,US,57.0,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
41,Mount Isa,AU,80.6,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
42,Miri,MY,86.0,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
43,Carutapera,BR,75.13,overcast clouds,-1.195,-46.02,Lidera
44,Sioux Lookout,CA,35.6,light intensity drizzle,50.1001,-91.917,Knobby's Fly-In Camps
45,Butaritari,KI,81.91,broken clouds,3.0707,172.7902,Isles Sunset Lodge
46,Mar Del Plata,AR,61.0,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
47,Kapaa,US,68.0,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
49,Qaqortoq,GL,32.0,clear sky,60.7167,-46.0333,Hotel Qaqortoq
50,Guhagar,IN,92.46,clear sky,17.4842,73.1929,Hotel Seawinds
51,Puerto Ayora,EC,74.08,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
52,Port-Gentil,GA,86.0,moderate rain,-0.7193,8.7815,Fengshui Residence
53,Busselton,AU,60.01,moderate rain,-33.65,115.3333,Observatory Guest House
54,Upernavik,GL,15.91,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
55,Hithadhoo,MV,83.37,broken clouds,-0.6,73.0833,Scoop Guest House
56,Mahajanga,MG,87.8,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
57,Ugoofaaru,MV,83.52,clear sky,5.6667,73.0,Ungoofaaru Inn
58,Kahului,US,66.2,clear sky,20.8947,-156.47,Maui Seaside Hotel
59,Hasaki,JP,57.0,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
60,Arraial Do Cabo,BR,69.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
61,Hambantota,LK,89.6,scattered clouds,6.1241,81.1185,Bungalow 63
62,Mastic Beach,US,55.4,fog,40.7668,-72.8521,Brushwood House by Smith Point Beach
63,Khao Yoi,TH,93.0,few clouds,13.2403,99.8243,เปิ้ล ทำเบาะ
64,Benalla,AU,50.0,broken clouds,-36.55,145.9833,Rose City Motor Inn
65,Khatanga,RU,31.62,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
66,Bluff,NZ,51.01,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
67,Avarua,CK,75.2,scattered clouds,-21.2078,-159.775,Paradise Inn
68,Lebu,CL,49.82,clear sky,-37.6167,-73.65,Hostal Las Lilas
69,Souillac,MU,82.4,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
70,Mahebourg,MU,82.4,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
73,Ancud,CL,53.01,moderate rain,-41.8697,-73.8203,Hotel Arena Gruesa
74,Codrington,AU,54.61,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
75,Sarkand,KZ,61.97,clear sky,45.41,79.9186,Гостиница Сарканд
76,Trelew,AR,57.29,clear sky,-43.248999999999995,-65.3051,Hotel Touring Club
77,Praia Da Vitoria,PT,60.8,broken clouds,38.7333,-27.0667,Hotel Branco I
79,Saint-Philippe,RE,84.2,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
80,Bagdarin,RU,22.48,overcast clouds,54.4333,113.6,Gostevoy Dom Terem
81,Port Keats,AU,84.31,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
82,Qaanaaq,GL,13.57,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
83,Nieuw Amsterdam,SR,75.99,light rain,5.8833,-55.0833,Hotel Stardust
84,Apastovo,RU,39.2,light rain,55.2029,48.5109,Avtovokzal
85,Parker,US,55.99,clear sky,32.7668,-97.8003,Candlewood Suites Weatherford
86,New Norfolk,AU,46.99,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
87,Sinnamary,GF,74.91,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
89,Itacarambi,BR,65.07,few clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
90,Krasne,UA,60.8,clear sky,49.9145,24.6134,Feniks
91,General Pico,AR,50.65,clear sky,-35.6566,-63.7568,Hotel Malargue
