City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tura,25.5198,90.2201,82.36,16,0,0.89,IN,2021-04-06 11:41:20
1,Bredasdorp,-34.5322,20.0403,71.6,56,99,16.11,ZA,2021-04-06 11:41:20
2,Provideniya,64.3833,-173.3,-0.45,89,48,10.54,RU,2021-04-06 11:41:21
3,Hilo,19.7297,-155.09,66.2,88,90,8.05,US,2021-04-06 11:36:36
4,Ust-Uda,54.1742,103.0304,30.38,98,84,2.24,RU,2021-04-06 11:41:21
5,Bluff,-46.6,168.3333,54.0,91,90,15.01,NZ,2021-04-06 11:41:22
6,Goure,13.9835,10.2704,100.99,4,69,8.99,NE,2021-04-06 11:41:22
7,Oranjemund,-28.55,16.4333,65.82,74,59,13.51,NA,2021-04-06 11:41:22
8,Jibuti,11.5,42.5,91.4,35,20,6.91,DJ,2021-04-06 11:41:23
9,Sistranda,63.7256,8.834,41.0,87,40,25.32,NO,2021-04-06 11:41:23
10,Ushuaia,-54.8,-68.3,46.4,53,40,21.85,AR,2021-04-06 11:41:23
11,Macieira De Cambra,40.8594,-8.3734,68.0,82,20,5.75,PT,2021-04-06 11:41:24
12,Khatanga,71.9667,102.5,11.28,96,86,6.31,RU,2021-04-06 11:41:24
13,Busselton,-33.65,115.3333,66.54,83,35,3.04,AU,2021-04-06 11:41:24
14,Camopi,3.1655,-52.3158,75.34,97,99,3.42,GF,2021-04-06 11:41:25
15,Sao Joao Da Barra,-21.6403,-41.0511,73.4,83,20,6.91,BR,2021-04-06 11:41:25
16,Galesong,-5.3166,119.3661,80.6,89,20,4.61,ID,2021-04-06 11:40:02
17,Zakamensk,50.3741,103.2863,43.34,41,66,2.01,RU,2021-04-06 11:41:26
18,Bandarbeyla,9.4942,50.8122,83.7,50,54,10.83,SO,2021-04-06 11:41:26
19,Elko,41.0002,-115.5012,30.0,55,2,10.0,US,2021-04-06 11:41:26
20,Rikitea,-23.1203,-134.9692,77.59,73,100,12.1,PF,2021-04-06 11:41:27
21,Jamestown,42.097,-79.2353,44.6,61,40,2.75,US,2021-04-06 11:41:27
22,Carmo Do Paranaiba,-19.0008,-46.3161,66.99,100,96,6.6,BR,2021-04-06 11:41:27
23,Kihei,20.785,-156.4656,68.0,94,90,6.91,US,2021-04-06 11:41:28
24,Lebu,-37.6167,-73.65,55.47,94,100,11.61,CL,2021-04-06 11:41:28
25,Thinadhoo,0.5333,72.9333,83.12,69,95,9.33,MV,2021-04-06 11:41:28
26,Vaini,-21.2,-175.2,73.4,88,75,3.44,TO,2021-04-06 11:41:29
27,Wewak,-3.5534,143.6268,79.5,81,100,9.33,PG,2021-04-06 11:41:29
28,Rafai,4.95,23.9167,93.09,31,89,7.36,CF,2021-04-06 11:41:29
29,Buluang,13.3068,123.3425,75.33,86,57,5.82,PH,2021-04-06 11:41:30
30,Qaanaaq,77.484,-69.3632,-0.09,72,100,1.77,GL,2021-04-06 11:41:30
31,Fairbanks,64.8378,-147.7164,-2.99,84,1,1.79,US,2021-04-06 11:37:26
32,Mataura,-46.1927,168.8643,54.0,91,76,15.01,NZ,2021-04-06 11:41:31
33,Airai,-8.9266,125.4092,60.37,93,39,1.21,TL,2021-04-06 11:41:31
34,Aswan,24.0934,32.907,95.22,6,0,5.41,EG,2021-04-06 11:41:31
35,Preobrazheniye,42.9019,133.9064,40.89,83,26,5.08,RU,2021-04-06 11:41:32
36,Thompson,55.7435,-97.8558,28.4,86,90,10.36,CA,2021-04-06 11:41:32
37,Mar Del Plata,-38.0023,-57.5575,68.0,100,90,8.05,AR,2021-04-06 11:37:35
38,Chuy,-33.6971,-53.4616,70.88,83,1,4.61,UY,2021-04-06 11:41:32
